timestamp,ax,ay,az,gx,gy,gz
1526044623710,0.02,0.013,0.003,-0.4,0.2,0.8
1526044623714,0.019,0.012,0.008,-0.5,0.1,1.0
1526044623733,0.015,0.015,0.008,-0.4,0.2,1.0
1526044623771,0.017,0.016,0.005,-0.7,0.1,1.0
1526044623775,0.018,0.014,0.003,-1.0,0.1,1.0
1526044623791,0.016,0.011,0.004,-0.9,0.2,0.9
1526044623812,0.018,0.012,0.011,-0.9,0.0,1.0
1526044623832,0.015,0.013,0.0,-0.7,0.1,1.0
1526044623849,0.015,0.011,0.005,-0.4,0.2,1.0
1526044623868,0.016,0.014,0.003,-0.4,0.3,1.0
1526044623893,0.018,0.014,0.004,-0.4,0.1,0.9
1526044623912,0.015,0.013,0.008,-0.6,0.0,1.0
1526044623932,0.013,0.015,0.004,-0.6,0.0,0.9
1526044623955,0.016,0.013,0.003,-0.4,0.2,1.0
1526044623975,0.017,0.011,0.002,-0.3,0.1,0.9
1526044623994,0.019,0.014,0.002,-0.3,0.1,1.0
1526044624032,0.015,0.011,0.005,-0.8,0.2,1.0
1526044624052,0.02,0.017,0.004,-0.9,0.0,1.0
1526044624056,0.017,0.017,0.005,-0.8,0.0,1.1
1526044624073,0.014,0.012,0.002,-0.9,-0.1,1.0
1526044624093,0.015,0.013,0.006,-0.4,0.1,1.0
1526044624114,0.016,0.012,0.006,-0.4,0.0,1.0
1526044624151,0.014,0.005,0.005,0.0,0.4,1.0
1526044624172,0.018,0.014,0.008,0.3,0.6,0.8
1526044624176,0.023,0.021,0.014,-0.4,0.4,0.8
1526044624194,0.014,0.024,0.013,-1.8,0.0,1.0
1526044624231,0.01,0.012,0.0,-2.6,-0.2,1.2
1526044624251,0.013,0.0,-0.006,-1.5,0.0,1.0
1526044624256,0.017,0.002,-0.007,0.0,0.4,0.6
1526044624295,0.022,0.013,0.008,0.9,0.4,0.8
1526044624299,0.022,0.018,0.012,0.6,0.2,0.9
1526044624313,0.018,0.02,0.014,-0.2,0.0,1.0
1526044624353,0.015,0.017,0.009,-1.2,0.0,1.1
1526044624374,0.012,0.012,-0.002,-1.4,-0.1,1.1
1526044624378,0.02,0.005,-0.002,-0.7,0.0,0.9
1526044624396,0.018,0.013,0.002,-0.2,0.3,0.8
1526044624417,0.016,0.016,0.004,-0.6,0.2,0.9
1526044624453,0.014,0.012,0.007,-0.6,0.3,1.0
1526044624473,0.016,0.016,0.006,-0.5,0.2,0.9
1526044624477,0.016,0.016,0.01,-0.7,0.2,1.0
1526044624493,0.014,0.012,0.005,-0.9,0.1,1.0
1526044624529,0.014,0.01,0.0,-0.7,0.2,1.1
1526044624548,0.019,0.009,0.0,-0.4,0.4,0.9
1526044624553,0.018,0.013,0.006,0.0,0.6,0.7
1526044624593,0.02,0.016,0.012,-0.1,0.4,0.9
1526044624614,0.018,0.015,0.011,-0.7,0.1,0.8
1526044624619,0.017,0.02,0.006,-1.3,0.0,1.0
1526044624638,0.015,0.015,0.004,-1.6,0.0,1.1
1526044624657,0.016,0.01,0.008,-1.1,0.0,1.1
1526044624697,0.018,0.01,0.005,-0.6,0.1,1.1
1526044624717,0.015,0.005,0.004,-0.3,0.0,0.8
1526044624721,0.016,0.012,0.002,-0.2,0.1,0.9
1526044624735,0.016,0.014,0.006,-0.4,0.1,1.0
1526044624773,0.017,0.013,0.01,-0.4,0.1,1.0
1526044624794,0.014,0.015,0.003,-0.4,0.1,1.0
1526044624798,0.016,0.012,0.003,-0.1,0.1,0.8
1526044624818,0.019,0.016,0.003,-0.2,0.2,1.0
1526044624857,0.018,0.014,0.005,-0.4,0.3,0.9
1526044624877,0.015,0.011,0.004,-0.3,0.3,1.0
1526044624881,0.017,0.015,0.004,-0.6,0.3,0.8
1526044624900,0.02,0.013,0.008,-0.5,0.3,0.8
1526044624937,0.018,0.012,0.004,-0.7,0.0,0.8
1526044624942,0.019,0.013,0.005,-0.8,0.1,0.9
1526044624959,0.017,0.01,0.003,-0.8,0.1,1.1
1526044624976,0.015,0.012,0.006,-0.4,0.3,0.8
1526044625014,0.015,0.014,0.007,-0.6,0.2,0.9
1526044625033,0.015,0.012,0.003,-0.5,0.4,1.0
1526044625037,0.015,0.014,0.006,-0.4,0.0,0.9
1526044625076,0.017,0.016,0.001,-0.4,0.1,0.8
1526044625096,0.013,0.01,0.003,-0.5,0.2,1.0
1526044625100,0.015,0.01,0.002,-0.2,0.2,1.0
1526044625138,0.017,0.012,0.001,-0.1,0.2,1.0
1526044625159,0.019,0.011,0.004,-0.2,0.3,1.0
1526044625163,0.017,0.016,0.003,-0.2,0.2,0.9
1526044625183,0.019,0.014,0.005,-0.4,0.3,0.9
1526044625203,0.018,0.015,0.004,-0.6,0.3,1.0
1526044625224,0.014,0.014,0.007,-0.6,0.1,1.2
1526044625240,0.016,0.014,0.0,-0.7,0.2,0.9
1526044625278,0.015,0.014,-0.001,-0.6,0.1,1.0
1526044625298,0.017,0.012,0.0,-0.6,0.1,1.0
1526044625302,0.015,0.01,0.011,-0.5,0.0,0.9
1526044625320,0.018,0.007,-0.001,0.0,0.4,1.0
1526044625343,0.016,0.007,0.0,0.5,0.6,0.9
1526044625381,0.023,0.022,0.006,0.3,0.6,0.6
1526044625401,0.016,0.028,0.017,-1.2,0.1,0.8
1526044625405,0.009,0.017,0.007,-2.2,-0.2,1.3
1526044625423,0.01,0.002,-0.004,-1.9,-0.1,1.1
1526044625459,0.014,0.002,-0.008,0.0,0.4,0.7
1526044625479,0.019,0.011,0.003,1.2,0.7,0.7
1526044625483,0.025,0.016,0.009,1.1,0.5,0.8
1526044625501,0.017,0.021,0.012,0.1,0.1,1.0
1526044625520,0.017,0.021,0.012,-0.6,0.0,1.0
1526044625560,0.015,0.014,0.005,-1.2,-0.2,1.1
1526044625579,0.018,0.008,-0.001,-1.1,0.0,1.1
1526044625583,0.016,0.011,0.002,-0.3,0.2,0.9
1526044625605,0.017,0.014,0.003,0.0,0.4,0.8
1526044625625,0.014,0.01,0.004,0.0,0.4,1.0
1526044625643,0.016,0.013,0.002,0.0,0.4,1.0
1526044625661,0.017,0.013,0.011,-0.2,0.3,1.0
1526044625700,0.013,0.014,0.012,-0.4,0.3,1.0
1526044625719,0.012,0.007,0.006,-0.4,0.2,1.1
1526044625723,0.016,0.012,0.0,-0.2,0.3,0.8
1526044625742,0.021,0.01,0.001,0.2,0.7,0.7
1526044625763,0.021,0.017,0.005,0.3,0.6,0.7
1526044625802,0.019,0.017,0.01,-0.1,0.4,0.9
1526044625824,0.019,0.019,0.01,-0.6,0.3,1.0
1526044625828,0.021,0.016,0.0,-1.3,0.0,0.8
1526044625846,0.017,0.011,0.003,-1.2,0.1,1.0
1526044625863,0.015,0.008,-0.001,-0.6,0.1,1.1
1526044625883,0.014,0.011,0.002,-0.2,0.0,1.0
1526044625919,0.016,0.012,0.003,0.0,0.3,0.9
1526044625940,0.019,0.017,0.006,0.0,0.1,0.7
1526044625944,0.016,0.016,0.004,0.0,0.3,0.9
1526044625964,0.017,0.014,0.006,-0.4,0.1,1.1
1526044625983,0.014,0.013,0.005,-0.2,0.0,1.0
1526044626021,0.018,0.014,0.008,0.0,0.2,0.9
1526044626042,0.014,0.013,0.001,-0.1,0.3,0.9
1526044626046,0.017,0.012,0.002,-0.1,0.3,0.8
1526044626065,0.017,0.013,0.008,-0.5,0.2,0.9
1526044626086,0.016,0.01,0.005,-0.6,0.3,1.1
1526044626125,0.017,0.01,0.01,-0.6,0.3,0.8
1526044626145,0.018,0.013,0.007,-0.5,0.3,1.0
1526044626150,0.015,0.014,0.001,-0.6,0.3,1.0
1526044626167,0.019,0.015,0.007,-0.5,0.3,1.0
1526044626205,0.017,0.013,0.005,-0.6,0.1,1.0
1526044626223,0.016,0.015,0.0,-0.6,0.0,1.0
1526044626225,0.018,0.012,0.0,-0.7,0.3,0.9
1526044626263,0.013,0.014,0.004,-0.7,0.4,0.9
1526044626282,0.016,0.011,0.0,-0.7,0.3,0.9
1526044626285,0.019,0.011,0.012,-0.4,0.4,0.8
1526044626323,0.015,0.012,0.003,-0.4,0.3,1.0
1526044626344,0.017,0.015,0.002,-0.1,0.3,1.0
1526044626347,0.016,0.016,0.003,-0.3,0.3,1.0
1526044626367,0.018,0.017,0.004,-0.4,0.2,1.0
1526044626404,0.015,0.012,0.005,-0.3,0.1,1.0
1526044626423,0.019,0.009,0.001,0.0,0.4,0.9
1526044626426,0.018,0.009,0.005,0.3,0.4,0.9
1526044626463,0.021,0.02,0.016,0.0,0.3,0.8
1526044626485,0.014,0.027,0.01,-1.3,-0.2,0.9
1526044626489,0.009,0.016,0.003,-2.0,-0.2,1.1
1526044626509,0.012,0.002,-0.006,-1.2,0.0,1.0
1526044626530,0.023,0.005,-0.005,-0.1,0.4,0.8
1526044626550,0.025,0.008,0.004,0.3,0.4,0.8
1526044626571,0.022,0.02,0.012,0.1,0.3,0.9
1526044626588,0.018,0.018,0.011,-0.5,0.0,0.8
1526044626607,0.018,0.017,0.005,-1.0,0.0,1.1
1526044626627,0.017,0.011,0.001,-1.2,0.0,1.1
1526044626666,0.015,0.008,0.0,-0.8,0.1,1.1
1526044626688,0.012,0.01,0.003,-0.2,0.1,0.9
1526044626692,0.016,0.013,0.0,-0.4,0.1,0.9
1526044626710,0.015,0.013,0.007,-0.2,0.3,0.9
1526044626748,0.015,0.013,0.008,-0.7,0.3,1.0
1526044626768,0.013,0.016,0.003,-0.5,0.2,0.8
1526044626773,0.018,0.014,0.006,-0.4,0.1,1.0
1526044626792,0.018,0.013,0.002,-0.2,0.4,0.8
1526044626809,0.018,0.015,0.004,-0.1,0.6,0.9
1526044626847,0.018,0.013,0.005,-0.6,0.3,0.8
1526044626852,0.013,0.013,0.007,-0.9,0.2,1.0
1526044626869,0.017,0.013,0.003,-1.1,0.2,0.9
1526044626906,0.019,0.015,0.007,-1.0,0.3,0.9
1526044626927,0.02,0.012,0.005,-0.9,0.1,1.0
1526044626932,0.019,0.014,0.004,-0.6,0.0,0.9
1526044626952,0.017,0.015,0.004,-0.9,0.0,1.0
1526044626973,0.017,0.015,0.0,-0.7,-0.1,1.0
1526044626994,0.014,0.013,0.002,-0.9,0.0,1.0
1526044627014,0.016,0.012,0.005,-0.5,0.1,1.0
1526044627031,0.016,0.013,0.003,-0.4,0.1,1.0
1526044627049,0.018,0.014,0.005,-0.5,0.0,1.1
1526044627071,0.015,0.013,0.004,-0.7,0.1,1.0
1526044627091,0.016,0.013,0.006,-0.6,0.0,0.9
1526044627128,0.018,0.015,0.002,-0.9,0.1,1.0
1526044627147,0.018,0.012,0.007,-1.0,0.0,1.1
1526044627151,0.018,0.014,0.006,-0.9,0.0,1.0
1526044627190,0.018,0.013,0.004,-1.0,0.0,0.9
1526044627211,0.015,0.014,0.008,-0.9,0.1,0.9
1526044627215,0.018,0.01,0.004,-1.1,-0.1,1.0
1526044627235,0.023,0.011,0.006,-1.2,0.0,1.1
1526044627255,0.017,0.014,0.007,-1.0,0.1,1.0
1526044627276,0.016,0.02,0.0,-1.1,0.1,0.9
1526044627296,0.017,0.016,0.003,-1.3,0.0,1.0
1526044627317,0.016,0.016,0.003,-1.5,0.0,1.1
1526044627336,0.017,0.012,0.002,-1.5,0.1,1.0
1526044627355,0.018,0.008,-0.004,-1.2,0.0,1.1
1526044627375,0.016,0.01,0.004,-0.9,0.0,1.0
1526044627394,0.015,0.014,0.008,-0.7,-0.1,1.0
1526044627416,0.015,0.012,0.001,-0.9,0.0,1.1
1526044627453,0.017,0.011,0.0,-0.3,0.1,1.1
1526044627456,0.02,0.019,0.001,-0.3,0.3,0.8
1526044627474,0.018,0.026,0.008,-1.6,0.0,1.0
1526044627493,0.014,0.014,0.007,-2.4,-0.2,1.2
1526044627530,0.011,0.005,-0.002,-2.0,-0.1,1.0
1526044627549,0.017,0.005,-0.001,-0.7,0.2,0.8
1526044627552,0.021,0.011,0.0,0.0,0.4,0.7
1526044627571,0.021,0.016,0.008,0.0,0.2,0.9
1526044627591,0.021,0.019,0.007,-0.6,0.0,0.9
1526044627627,0.017,0.017,0.008,-1.3,0.0,1.1
1526044627650,0.017,0.015,0.004,-1.6,-0.2,1.1
1526044627654,0.017,0.008,-0.001,-1.3,0.0,1.2
1526044627694,0.018,0.007,0.005,-0.6,0.2,1.0
1526044627715,0.015,0.013,0.003,-0.4,0.1,0.9
1526044627719,0.017,0.015,0.003,-0.4,0.0,1.0
1526044627740,0.018,0.016,0.007,-0.5,0.3,0.9
1526044627760,0.016,0.018,0.002,-0.8,0.3,1.0
1526044627775,0.015,0.01,0.007,-0.7,0.1,1.0
1526044627795,0.016,0.009,0.004,-0.3,0.1,0.9
1526044627814,0.017,0.01,0.0,-0.1,0.3,1.0
1526044627836,0.02,0.013,0.004,0.0,0.3,0.8
1526044627855,0.018,0.016,0.007,-0.2,0.4,1.0
1526044627895,0.019,0.013,0.008,-0.8,0.1,1.0
1526044627916,0.017,0.015,0.008,-1.0,0.1,1.0
1526044627920,0.018,0.016,0.004,-1.0,0.3,1.1
1526044627939,0.014,0.015,0.003,-1.0,0.1,1.0
1526044627957,0.015,0.009,0.001,-0.8,0.3,1.1
1526044627976,0.014,0.008,0.001,-0.7,0.1,1.0
1526044627995,0.017,0.016,0.003,-0.6,0.3,1.0
1526044628012,0.017,0.013,0.006,-0.7,0.3,0.9
1526044628038,0.016,0.007,0.007,-0.6,0.0,1.0
1526044628057,0.015,0.01,0.005,-0.5,0.2,0.9
1526044628077,0.014,0.013,0.005,-0.1,0.0,0.9
1526044628116,0.015,0.014,0.001,-0.1,0.2,1.0
1526044628135,0.016,0.017,0.002,-0.2,0.2,1.0
1526044628139,0.018,0.012,0.006,-0.5,0.2,0.9
1526044628159,0.02,0.014,0.005,-0.7,0.1,1.0
1526044628178,0.02,0.01,0.003,-1.2,0.1,1.0
1526044628197,0.015,0.01,0.004,-0.6,0.1,1.1
1526044628218,0.017,0.011,0.006,-0.5,0.1,0.9
1526044628257,0.015,0.014,0.003,-0.4,0.1,1.0
1526044628276,0.018,0.013,0.004,-0.9,0.2,1.0
1526044628279,0.017,0.017,0.006,-0.6,0.3,1.0
1526044628298,0.014,0.011,0.007,-0.9,0.3,1.0
1526044628318,0.016,0.01,-0.001,-0.9,0.3,1.1
1526044628341,0.016,0.007,0.002,-0.7,0.3,1.0
1526044628360,0.018,0.01,0.003,-0.2,0.2,0.9
1526044628380,0.016,0.015,0.006,-0.1,0.2,1.0
1526044628400,0.014,0.016,0.006,-0.1,0.2,0.8
1526044628441,0.018,0.017,0.005,-0.6,0.3,0.8
1526044628461,0.02,0.014,0.005,-0.9,0.0,1.1
1526044628466,0.014,0.01,0.0,-1.2,0.1,1.0
1526044628485,0.018,0.006,0.003,-1.0,0.0,1.0
1526044628504,0.016,0.008,0.002,-0.2,0.0,0.8
1526044628522,0.014,0.013,0.005,0.0,0.2,0.9
1526044628541,0.017,0.012,0.006,0.0,0.2,1.0
1526044628561,0.016,0.014,0.002,0.3,0.5,1.0
1526044628601,0.021,0.024,0.01,-0.4,0.5,0.7
1526044628620,0.02,0.026,0.014,-2.0,0.0,0.8
1526044628625,0.016,0.011,0.009,-2.4,-0.1,1.3
1526044628643,0.011,0.0,-0.002,-1.5,0.0,1.0
1526044628664,0.013,0.0,-0.002,-0.1,0.3,0.7
1526044628684,0.019,0.014,0.003,0.6,0.5,0.7
1526044628703,0.021,0.019,0.008,0.5,0.3,0.8
1526044628722,0.018,0.022,0.009,-0.1,0.1,1.0
1526044628743,0.016,0.016,0.002,-0.9,-0.1,1.1
1526044628763,0.013,0.011,0.0,-1.3,-0.1,1.2
1526044628801,0.016,0.005,-0.003,-0.7,0.0,1.1
1526044628821,0.015,0.007,0.009,-0.1,0.3,0.9
1526044628826,0.014,0.017,0.003,-0.2,0.2,1.0
1526044628845,0.013,0.02,0.003,-0.5,0.1,1.1
1526044628865,0.017,0.016,0.004,-0.5,0.1,0.9
1526044628903,0.019,0.016,0.005,-0.8,0.3,1.0
1526044628925,0.018,0.015,0.004,-1.0,0.1,1.0
1526044628930,0.013,0.009,0.004,-0.9,0.1,1.0
1526044628944,0.015,0.008,0.0,-0.2,0.3,0.9
1526044628983,0.019,0.012,0.009,0.1,0.3,0.8
1526044629002,0.021,0.017,0.008,0.0,0.4,0.8
1526044629008,0.017,0.022,0.005,-0.6,0.2,0.8
1526044629025,0.017,0.021,0.006,-1.3,0.1,0.8
1526044629064,0.021,0.014,0.004,-1.7,0.1,1.0
1526044629068,0.019,0.007,0.0,-1.4,0.0,1.0
1526044629084,0.016,0.003,0.0,-0.7,-0.1,1.0
1526044629124,0.017,0.008,0.001,-0.2,0.3,0.9
1526044629144,0.014,0.016,0.004,-0.1,0.3,1.0
1526044629149,0.013,0.019,0.006,-0.2,0.0,1.0
1526044629164,0.015,0.018,0.005,-0.8,0.0,1.1
1526044629204,0.016,0.013,0.003,-0.9,0.0,1.1
1526044629224,0.017,0.009,0.0,-0.4,0.1,1.0
1526044629228,0.017,0.01,0.006,-0.3,0.3,1.0
1526044629247,0.015,0.011,0.003,-0.3,0.3,0.8
1526044629265,0.021,0.012,0.007,-0.4,0.2,1.0
1526044629303,0.019,0.016,0.005,-0.5,0.2,1.0
1526044629324,0.017,0.015,0.003,-0.6,0.2,1.0
1526044629330,0.017,0.016,0.001,-0.7,0.3,1.0
1526044629351,0.018,0.015,0.006,-1.0,0.1,1.0
1526044629368,0.019,0.009,0.003,-1.0,0.1,1.0
1526044629405,0.02,0.012,0.003,-0.9,0.1,1.0
1526044629424,0.016,0.011,0.003,-0.8,0.1,0.9
1526044629426,0.016,0.009,0.003,-0.6,0.2,1.0
1526044629443,0.019,0.014,0.007,-0.6,0.1,1.0
1526044629465,0.014,0.013,0.005,-0.5,0.1,0.9
1526044629504,0.016,0.017,0.005,-0.7,0.3,0.9
1526044629527,0.014,0.013,0.005,-0.6,0.2,0.9
1526044629532,0.016,0.013,0.007,-0.6,0.2,0.8
1526044629550,0.017,0.01,0.006,-0.4,0.3,1.0
1526044629570,0.016,0.01,0.01,-0.1,0.3,1.1
1526044629591,0.014,0.014,0.005,0.0,0.2,1.1
1526044629612,0.018,0.019,0.003,-0.5,0.2,1.0
1526044629650,0.015,0.016,0.008,-0.7,0.1,1.0
1526044629667,0.015,0.014,0.001,-1.0,0.0,0.9
1526044629672,0.017,0.014,0.002,-1.1,0.0,1.1
1526044629691,0.014,0.012,0.004,-0.7,0.3,0.9
1526044629714,0.016,0.011,0.006,-0.2,0.1,0.9
1526044629733,0.014,0.006,0.004,-0.2,0.3,1.0
1526044629753,0.018,0.01,0.004,0.3,0.5,0.8
1526044629773,0.021,0.022,0.015,-0.2,0.4,0.7
1526044629790,0.016,0.027,0.011,-1.6,0.0,0.8
1526044629809,0.013,0.012,0.005,-2.4,-0.2,1.2
1526044629830,0.013,-0.001,-0.01,-1.7,0.1,1.0
1526044629868,0.016,0.004,-0.009,-0.1,0.3,0.7
1526044629889,0.022,0.013,0.0,0.9,0.4,0.7
1526044629893,0.022,0.022,0.014,0.6,0.4,0.8
1526044629928,0.021,0.021,0.015,0.0,0.0,1.0
1526044629949,0.017,0.016,0.003,-1.0,-0.2,1.1
1526044629953,0.014,0.011,0.0,-1.3,-0.2,1.3
1526044629992,0.016,0.006,0.0,-0.8,0.1,1.2
1526044630013,0.016,0.009,0.001,-0.2,0.2,1.0
1526044630018,0.014,0.016,0.005,-0.2,0.3,0.8
1526044630033,0.014,0.02,0.004,-0.4,0.2,1.0
1526044630053,0.014,0.015,0.002,-0.4,0.3,1.0
1526044630074,0.02,0.014,0.001,-0.3,0.1,0.8
1526044630092,0.014,0.011,0.004,-1.0,0.1,0.9
1526044630133,0.015,0.001,0.004,-0.8,0.0,1.1
1526044630153,0.017,0.009,-0.003,0.1,0.3,0.8
1526044630157,0.017,0.015,0.007,0.2,0.8,0.8
1526044630174,0.022,0.022,0.02,-0.4,0.5,0.5
1526044630195,0.018,0.034,0.017,-1.8,0.6,0.7
1526044630216,0.021,0.015,0.009,-3.8,0.7,1.1
1526044630256,0.027,0.014,0.004,-4.9,0.9,0.8
1526044630261,0.028,0.009,0.003,-5.7,1.4,0.7
1526044630277,0.022,0.048,-0.003,-8.2,2.3,0.5
1526044630295,0.019,0.028,0.004,-11.3,2.3,1.4
1526044630314,0.022,0.015,-0.004,-16.9,3.6,2.4
1526044630334,0.035,-0.005,-0.013,-15.5,6.1,1.7
1526044630355,0.042,0.017,-0.039,-12.7,11.2,0.3
1526044630376,0.422,-0.52,-0.019,16.8,21.5,0.8
1526044630398,0.069,0.107,0.203,41.2,26.3,-15.2
1526044630417,0.03,0.049,0.294,31.3,27.0,-20.5
1526044630437,-0.009,-0.009,0.267,41.4,29.1,-30.6
1526044630453,-0.031,-0.007,0.275,75.2,34.3,-35.4
1526044630494,-0.095,0.218,0.219,77.0,35.6,-48.0
1526044630514,-0.19,0.13,0.533,85.6,23.0,-49.2
1526044630519,-0.137,0.42,0.589,67.6,-12.0,-47.5
1526044630536,-0.094,0.404,0.483,-4.6,-48.2,-36.1
1526044630554,-0.098,0.258,0.37,-34.3,-72.9,-23.6
1526044630576,-0.115,0.347,0.359,-17.7,-85.1,-22.7
1526044630597,-0.22,0.235,0.309,7.6,-97.9,-18.0
1526044630617,-0.346,0.337,0.27,13.2,-108.9,-7.2
1526044630637,-0.366,0.344,0.132,8.4,-112.7,1.2
1526044630659,-0.345,0.482,0.076,-5.8,-110.2,10.0
1526044630695,-0.312,0.373,0.085,-8.7,-108.1,25.5
1526044630715,-0.356,0.266,0.138,27.9,-107.7,42.2
1526044630720,-0.338,0.374,0.016,47.2,-108.3,61.0
1526044630740,-0.275,0.427,-0.214,37.9,-101.8,80.2
1526044630757,-0.239,0.452,-0.253,66.0,-85.4,104.8
1526044630779,-0.338,0.555,-0.182,109.1,-73.7,136.4
1526044630815,-0.441,0.831,-0.246,109.3,-70.1,176.0
1526044630835,-0.572,0.668,-0.473,109.1,-64.5,223.6
1526044630839,-0.743,0.777,-0.579,103.8,-43.6,262.7
1526044630861,-0.963,0.688,-0.714,68.8,-30.8,298.9
1526044630881,-1.046,0.416,-0.657,76.4,-17.1,316.8
1526044630902,-1.028,-0.003,-0.497,106.1,-10.2,320.3
1526044630922,-0.901,0.05,-0.322,61.8,-6.8,302.5
1526044630940,-1.041,-0.09,-0.598,-22.9,-5.0,303.5
1526044630960,-1.105,-0.744,-0.393,-37.5,6.5,293.5
1526044630996,-0.743,-0.803,-0.268,-72.1,10.5,268.6
1526044631017,-0.582,-0.852,-0.392,-90.9,10.9,263.2
1526044631022,-0.477,-0.958,-0.379,-84.1,28.0,253.6
1526044631039,-0.32,-0.468,-0.695,-139.7,45.9,241.8
1526044631073,-0.425,-0.766,-1.016,-223.2,60.0,237.1
1526044631095,-0.478,-0.82,-1.031,-220.0,72.5,210.5
1526044631102,-0.379,-0.499,-0.674,-184.9,84.8,184.2
1526044631137,-0.072,-0.259,-0.77,-138.2,106.5,179.5
1526044631158,-0.035,0.252,-0.496,-114.9,115.9,189.7
1526044631161,0.088,-1.534,0.76,159.2,117.9,96.2
1526044631178,0.2,-1.716,2.375,146.1,3.1,-41.0
1526044631200,1.153,-0.614,0.271,-63.5,-43.5,-14.5
1526044631220,-0.583,-1.308,1.513,-59.8,38.4,25.7
1526044631240,-1.22,0.71,0.211,-110.1,-3.7,52.1
1526044631278,-0.837,0.593,0.007,-86.2,-52.0,12.8
1526044631299,-0.115,0.183,-0.164,-43.7,-85.7,-44.2
1526044631302,-0.377,-0.077,-0.194,-39.5,-114.7,-55.3
1526044631321,0.224,-0.479,0.507,-57.7,-91.5,-21.4
1526044631340,0.403,-0.23,-0.137,-40.3,-76.2,11.6
1526044631363,-0.232,-0.073,0.228,-13.3,-72.0,27.4
1526044631381,-0.197,0.12,-0.08,-37.7,-89.3,22.0
1526044631400,0.184,-0.027,-0.103,-78.8,-101.6,24.4
1526044631421,0.183,-0.082,-0.306,-54.3,-104.1,16.3
1526044631441,-0.462,0.082,0.157,17.6,-111.5,-13.3
1526044631463,0.17,0.342,-0.291,-14.9,-134.9,-18.1
1526044631483,0.395,0.311,-0.372,-55.2,-150.1,-8.3
1526044631503,-0.372,-0.211,0.171,-51.6,-220.0,-25.6
1526044631523,0.298,0.063,-0.584,-89.6,-260.2,-9.1
1526044631545,0.368,-0.095,-0.433,-40.3,-286.8,33.9
1526044631564,-0.238,-0.566,-0.066,-72.6,-326.2,110.4
1526044631585,-0.024,-0.029,-0.182,-36.3,-345.2,119.6
1526044631605,0.236,-0.047,-0.186,-16.7,-357.6,118.3
1526044631626,0.663,0.28,0.509,118.3,-334.1,131.1
1526044631647,-0.063,0.547,0.956,-23.9,-354.6,152.2
1526044631667,-0.572,-0.548,-0.433,-75.6,-294.5,72.8
1526044631686,0.188,-0.502,-0.734,48.9,32.4,101.6
1526044631703,0.515,0.036,-0.104,109.2,53.1,-39.6
1526044631741,0.361,-0.057,0.113,103.6,21.5,-7.3
